SPECIES;DETERMINED AS;NAME;LAT;LONG;MAX_AGE;MIN_AGE;MIS;PERIOD;EARLY_INTERVALL;LATE_INTERVALL;COUNTRY;STATE;REFERENCE;NOTIZ;;
Mammuthus columbi;Mammuthus columbi;Hacienda de El Silencio, Mata Limón;10.033174;-84.850321;0.126;0.012;5-1;;Late Pleistocene;;Costa Rica;;"McDonald, H. Gregory; Dávila A, Sylvia Lorena (2017): Mammoths in Central America: New records from Guatemala. In: Quaternary International 443, S. 122–128. DOI: 10.1016/j.quaint.2016.12.018.";;;
Mammuthus columbi;Mammuthus columbi;El Palmar;11.45666;-85.902992;0.126;0.0117;5-1;;Late Pleistocene;;NI;;"S. G. Lucas, R. Garcia, and E. Espinoza, G. E. Alvarado, L. Hde Mendoza, E. Vega. 2008. The fossil mammals of Nicaragua. New Mexico Museum of Natural History and Science Bulletin 44:417-429.   McDonald, H. Gregory; Dávila A, Sylvia Lorena (2017): Mammoths in Central America: New records from Guatemala. In: Quaternary International 443, S. 122–128. DOI: 10.1016/j.quaint.2016.12.018.";;;
Mammuthus columbi;Mammuthus imperator;El Palmar;11.45666;-85.902992;2.588;0.0117;;;Pleistocene;;NI;;S. G. Lucas, R. Garcia, and E. Espinoza, G. E. Alvarado, L. Hde Mendoza, E. Vega. 2008. The fossil mammals of Nicaragua. New Mexico Museum of Natural History and Science Bulletin 44:417-429;;;
Mammuthus columbi;Mammuthus jeffersonii /M. columbi;El Palmar;11.45666;-85.902992;2.588;0.0117;;;Pleistocene;;NI;;S. G. Lucas, R. Garcia, and E. Espinoza, G. E. Alvarado, L. Hde Mendoza, E. Vega. 2008. The fossil mammals of Nicaragua. New Mexico Museum of Natural History and Science Bulletin 44:417-429;;;
Mammuthus columbi;Mammuthus columbi;Masachapa;11.78644;-86.51664;0.126;0.012;5-1;;Late Pleistocene;;NI;;"S. G. Lucas, R. Garcia, and E. Espinoza, G. E. Alvarado, L. Hde Mendoza, E. Vega. 2008. The fossil mammals of Nicaragua. New Mexico Museum of Natural History and Science Bulletin 44:417-429.    McDonald, H. Gregory; Dávila A, Sylvia Lorena (2017): Mammoths in Central America: New records from Guatemala. In: Quaternary International 443, S. 122–128. DOI: 10.1016/j.quaint.2016.12.018.";;;
Mammuthus columbi;Mammuthus imperator;Masachapa;11.78644;-86.51664;23.03;2.588;;;Neogene;;NI;;S. G. Lucas, R. Garcia, and E. Espinoza, G. E. Alvarado, L. Hde Mendoza, E. Vega. 2008. The fossil mammals of Nicaragua. New Mexico Museum of Natural History and Science Bulletin 44:417-429;;;
Mammuthus columbi;Mammuthus jeffersonii /M. columbi;Masachapa;11.78644;-86.51664;23.03;2.588;;;Neogene;;NI;;S. G. Lucas, R. Garcia, and E. Espinoza, G. E. Alvarado, L. Hde Mendoza, E. Vega. 2008. The fossil mammals of Nicaragua. New Mexico Museum of Natural History and Science Bulletin 44:417-429;;;
Mammuthus columbi;Mammuthus imperator;Rio Tomayate;13.783333;-89.166664;4.9;1.8;;;Blancan;;SV;;;;;
Mammuthus columbi;Mammuthus jeffersonii /M. columbi;Rio Tomayate;13.783333;-89.166664;4.9;1.8;;;Blancan;;SV;;;;;
Mammuthus columbi;Mammuthus columbi;Rio Tomayate, Apopa;13.783333;-89.166664;0.24;0.126;7-5;;Rancholabrean;;SV;;"Laurito Mora, César; Huziel Aguilar Calles, Daniel (2012): El Registro de Mammuthus (Proboscidea, Elephantidae) en la República de El Salvador, América Central. In: 1 (34-35). DOI: 10.15517/rgac.v0i34-35.4227.";;;
Mammuthus columbi;Mammuthus columbi;Hacienda San Lorenzo;14.056035;-89.349001;0.126;0.012;5-1;;Late Pleistocene;;El Salvador;;"McDonald, H. Gregory; Dávila A, Sylvia Lorena (2017): Mammoths in Central America: New records from Guatemala. In: Quaternary International 443, S. 122–128. DOI: 10.1016/j.quaint.2016.12.018.    Laurito Mora, César; Huziel Aguilar Calles, Daniel (2012): El Registro de Mammuthus (Proboscidea, Elephantidae) en la República de El Salvador, América Central. In: 1 (34-35). DOI: 10.15517/rgac.v0i34-35.4227.";;;
Mammuthus columbi;Mammuthus columbi;Cerro Pacho;14.133333;-89.366669;0.24;0.126;7-5;;Rancholabrean;;SV;Chalatenango;"Laurito Mora, César; Huziel Aguilar Calles, Daniel (2012): El Registro de Mammuthus (Proboscidea, Elephantidae) en la República de El Salvador, América Central. In: 1 (34-35). DOI: 10.15517/rgac.v0i34-35.4227.";;;
Mammuthus columbi;Mammuthus imperator;Cerro Pacho;14.133333;-89.366669;2.588;0.0117;;;Pleistocene;;SV;;C. A. Laurito and D. H. Aguilar. 2007. El registro de Mammuthus (Proboscidea, Elephantidae) en la RepÃºblica de El Salvador, AmÃ©rica Central. Revista GeolÃ³gica de AmÃ©rica Central 34:73-81;;;
Mammuthus columbi;Mammuthus jeffersonii /M. columbi;Cerro Pacho;14.133333;-89.366669;2.588;0.0117;;;Pleistocene;;SV;Chalatenango;C. A. Laurito and D. H. Aguilar. 2007. El registro de Mammuthus (Proboscidea, Elephantidae) en la RepÃºblica de El Salvador, AmÃ©rica Central. Revista GeolÃ³gica de AmÃ©rica Central 34:73-81;;;
Mammuthus columbi;Mammuthus columbi;Orillas del Humuya;14.477778;-87.650002;0.126;0.0117;5-1;;Late Pleistocene;;HN;;"S. D. Webb and S. C. Perrigo. 1984. Â Late Cenozoic Vertebrates from Honduras and El Salvador. Journal of Vertebrate Paleontology 4(2):237-254.     McDonald, H. Gregory; Dávila A, Sylvia Lorena (2017): Mammoths in Central America: New records from Guatemala. In: Quaternary International 443, S. 122–128. DOI: 10.1016/j.quaint.2016.12.018.";;;
Mammuthus columbi;Mammuthus imperator;Orillas del Humuya;14.477778;-87.650002;0.126;0.0117;5-1;;Late Pleistocene;;HN;;S. D. Webb and S. C. Perrigo. 1984. Â Late Cenozoic Vertebrates from Honduras and El Salvador. Journal of Vertebrate Paleontology 4(2):237-254;;;
Mammuthus columbi;Mammuthus jeffersonii /M. columbi;Orillas del Humuya;14.477778;-87.650002;0.126;0.0117;;;Late Pleistocene;;HN;;S. D. Webb and S. C. Perrigo. 1984. Â Late Cenozoic Vertebrates from Honduras and El Salvador. Journal of Vertebrate Paleontology 4(2):237-254;;;
Mammuthus columbi;Mammuthus imperator; Chinautla - Locality 6;14.7;-90.499397;2.588;0.0117;;;Pleistocene;;GT;;H.G. McDonald and S.L. DÃ¡vila. 2017. Mammoths in Central America: New records from Guatemala. Quaternary International 443:122-128;;;
Mammuthus columbi;Mammuthus jeffersonii /M. columbi; Chinautla - Locality 6;14.7;-90.499397;2.588;0.0117;;;Pleistocene;;GT;Guatemala;H.G. McDonald and S.L. DÃ¡vila. 2017. Mammoths in Central America: New records from Guatemala. Quaternary International 443:122-128;;;
Mammuthus columbi;Mammuthus columbi;Chinautla;14.7;-90.499397;0.126;0.0117;5-1;;Pleistocene;;GT;Guatemala;H.G. McDonald and S.L. DÃ¡vila. 2017. Mammoths in Central America: New records from Guatemala. Quaternary International 443:122-128;;;
Mammuthus columbi;Mammuthus imperator;TeculutÃ¡n - Locality 8;14.9897;-89.697502;0.126;0.0117;5-1;;Late Pleistocene;;GT;;H.G. McDonald and S.L. DÃ¡vila. 2017. Mammoths in Central America: New records from Guatemala. Quaternary International 443:122-128;;;
Mammuthus columbi;Mammuthus jeffersonii /M. columbi;TeculutÃ¡n - Locality 8;14.9897;-89.697502;0.126;0.0117;;;Late Pleistocene;;GT; Zacapa;H.G. McDonald and S.L. DÃ¡vila. 2017. Mammoths in Central America: New records from Guatemala. Quaternary International 443:122-128;;;
Mammuthus columbi;Mammuthus columbi;Teculután;14.9897;-89.697502;0.126;0.0117;5-1;;Late Pleistocene;;GT; Zacapa;H.G. McDonald and S.L. DÃ¡vila. 2017. Mammoths in Central America: New records from Guatemala. Quaternary International 443:122-128;;;
Mammuthus columbi;Mammuthus columbi;Estanzuela, Departamento de Zacapa;14.9989;-89.7078;0.126;0.012;5-1;;Late Pleistocene;;GT;;"McDonald, H. Gregory; Dávila A, Sylvia Lorena (2017): Mammoths in Central America: New records from Guatemala. In: Quaternary International 443, S. 122–128. DOI: 10.1016/j.quaint.2016.12.018.";;;
Mammuthus columbi;Mammuthus columbi;;14.9989;-89.707802;0.126;0.0117;5-1;NA;Late Pleistocene;;;;;;;
Mammuthus columbi;Mammuthus imperator;;14.9989;-89.707802;0.126;0.0117;5-1;;Late Pleistocene;;;;;;;
Mammuthus columbi;Mammuthus jeffersonii /M. columbi;;14.9989;-89.707802;0.126;0.0117;;;Late Pleistocene;;;;;;;
Mammuthus columbi;Mammuthus columbi;Central Depression of Chiapas;16.202002;-92.799769;0.240;0.012;7-1;;Chibanian;;MX;Chiapas;"PÉREZ-CRESPO, VÍCTOR ADRIÁN; Carbot-Chanona, Gerardo; Morales-Puente, Pedro; Cienfuegos-Alvarado, Edith; Otero, F. J. (2015): Paleoenvironment of the Central Depression of Chiapas, based on stable carbon and oxygen isotopes. In: Revista Mexicana de Ciencias Geologicas (32), S. 273–282.";;;
Mammuthus columbi;Mammuthus imperator;Fondo de Rí­o La Pasión;16.531401;-90.189201;0.126;0.0117;5-1;;Late Pleistocene;;GT;;H.G. McDonald and S.L. DÃ¡vila. 2017. Mammoths in Central America: New records from Guatemala. Quaternary International 443:122-128;;;
Mammuthus columbi;Mammuthus jeffersonii /M. columbi;Fondo de Rí­o La Pasión;16.531401;-90.189201;0.126;0.0117;;;Late Pleistocene;;GT;El PetÃ©n;H.G. McDonald and S.L. DÃ¡vila. 2017. Mammoths in Central America: New records from Guatemala. Quaternary International 443:122-128;;;
Mammuthus columbi;Mammuthus columbi;Fondo de Rí­o La Pasión, Sayaxché;16.531401;-90.189201;0.126;0.0117;5-1;;Late Pleistocene;;GT;El PetÃ©n;H.G. McDonald and S.L. Dávila. 2017. Mammoths in Central America: New records from Guatemala. Quaternary International 443:122-128;;;
Mammuthus columbi;Mammuthus columbi;Santa Maria Jicotlán, Oaxaca;17.3;-97.4666;0.24;0.012;7-1;;Late Pleistocene;;MX;;"PÉREZ-CRESPO, VÍCTOR ADRIÁN; Arroyo-Cabrales, Joaquín; Benammi, Mouloud; Johnson, Eileen; Polaco, Oscar J.; Santos-Moreno, Antonio et al. (2012): Geographic variation of diet and habitat of the Mexican populations of Columbian Mammoth (Mammuthus columbi). In: Quaternary International 276-277, S. 8–16. DOI: 10.1016/j.quaint.2012.03.014."; S. 8–16. DOI: 10.1016/j.quaint.2012.03.014.;;
Mammuthus columbi;Mammuthus imperator;Chazumba I ;18.195557;-97.67083;2.588;0;;;Quaternary;;MX;;R. Vines-Vallverdu, J. Arroyo-Cabrales, and II Rivera-Gonzalez, XP Rodriguez-Alvarez, A. Rubio-Mora, IN Exudate-Eusebio, OR Solis-Torres, CF Ardelean. 2017. Recent archaeo-palaeontogical findings from Barranca del Muerto site, Santiago Chazumba, Oaxaca, Mexico. Quaternary International 431:168-180;;;
Mammuthus columbi;Mammuthus jeffersonii /M. columbi;Chazumba I ;18.195557;-97.67083;2.588;0;;;Quaternary;;MX;Santiago Chazumba;R. Vines-Vallverdu, J. Arroyo-Cabrales, and II Rivera-Gonzalez, XP Rodriguez-Alvarez, A. Rubio-Mora, IN Exudate-Eusebio, OR Solis-Torres, CF Ardelean. 2017. Recent archaeo-palaeontogical findings from Barranca del Muerto site, Santiago Chazumba, Oaxaca, Mexico. Quaternary International 431:168-180;;;
Mammuthus columbi;Mammuthus columbi;Chazumba I , Barranca del Muerto;18.195557;-97.67083;0.02772;0.0275;2;K;Quaternary;;MX;Santiago Chazumba;R. Vines-Vallverdu, J. Arroyo-Cabrales, and II Rivera-Gonzalez, XP Rodriguez-Alvarez, A. Rubio-Mora, IN Exudate-Eusebio, OR Solis-Torres, CF Ardelean. 2017. Recent archaeo-palaeontogical findings from Barranca del Muerto site, Santiago Chazumba, Oaxaca, Mexico. Quaternary International 431:168-180;;;
Mammuthus columbi;Mammuthus imperator;Chazumba II;18.195557;-97.67083;2.588;0.0117;;;Pleistocene;;MX;;R. Vines-Vallverdu, J. Arroyo-Cabrales, and II Rivera-Gonzalez, XP Rodriguez-Alvarez, A. Rubio-Mora, IN Exudate-Eusebio, OR Solis-Torres, CF Ardelean. 2017. Recent archaeo-palaeontogical findings from Barranca del Muerto site, Santiago Chazumba, Oaxaca, Mexico. Quaternary International 431:168-180;;;
Mammuthus columbi;Mammuthus jeffersonii /M. columbi;Chazumba II;18.195557;-97.67083;2.588;0.0117;;;Pleistocene;;MX;Santiago chazumba;R. Vines-Vallverdu, J. Arroyo-Cabrales, and II Rivera-Gonzalez, XP Rodriguez-Alvarez, A. Rubio-Mora, IN Exudate-Eusebio, OR Solis-Torres, CF Ardelean. 2017. Recent archaeo-palaeontogical findings from Barranca del Muerto site, Santiago Chazumba, Oaxaca, Mexico. Quaternary International 431:168-180;;;
Mammuthus columbi;Mammuthus columbi;Chazumba II, Barranca del Muerto;18.195557;-97.67083;0.24;0.028;7-2;;Rancholabrean;;MX;Santiago chazumba;R. Vines-Vallverdu, J. Arroyo-Cabrales, and II Rivera-Gonzalez, XP Rodriguez-Alvarez, A. Rubio-Mora, IN Exudate-Eusebio, OR Solis-Torres, CF Ardelean. 2017. Recent archaeo-palaeontogical findings from Barranca del Muerto site, Santiago Chazumba, Oaxaca, Mexico. Quaternary International 431:168-180;;;
