SPECIES;NAME;LAT;LONG;MAX_AGE;MIN_AGE;MIS;PERIOD;EARLY_INTERVALL;LATE_INTERVALL;BASIN;COUNTRY;SP_SYNONYM;REFERENCE;;;;;
Mammuthus meridionalis;Ain Hanech;35.417;4.133;1.82;1.78;66-64;NA;;;Atlas;Algeria;Elephas maghrebiensis:Elephas moghrebiensis;"Sahnouni, M. (1998): The site of Ain Hanech revisited: new investigations at this Lower Pleistocene site in Northern Algeria. In: Journal of Archaeological Science (25), S. 1083–1101.      Sahnouni, M.; Hadjouis, D.; van der Made, J.; Derradji, A.E.K.; Canals, A.; Medig, M. et al. (2002): Further research at the Oldowan site of Ain Hanech, North-eastern Algeria. In: Journal of Human Evolution (43), S. 925–937.";;;;;
Mammuthus meridionalis;El Kherba;36.667;5.668611111;1.833666667;1.778;103-64;NA;;;Atlas;Algeria;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;El-Kherba;35.41666667;4.133333333;1.9;0.0117;103-1;NA;;;Atlas;Algeria;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Mansourah;36.1667;6;1.9;0.0117;103-1;NA;;;Atlas;Algeria;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Boz-Dag;41;46.4;1.945;0.781;74-19;NA;;;Kura - Kartli;Azerbaijan;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Nakhichevan;39.2089;45.41222222;3.497666667;2.58;103-64;NA;;;\N;Azerbaijan;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Thorington;52.311943;1.399444;1.92;1.88;73-71;NA;Gelasian;;;England;;"Zalasiewicz, J. A.; Mathers, S. J.; Gibbard, P. L.; Peglar, S. M.; Funnell, B. M.; Catt, J. A. et al. (1991): Age and relationships of the Chillesford Clay (early Pleistocene: Suffolk, England). In: Philosophical Transactions of the Royal Society B-Biological Sciences (333), S. 81–100.    Richards, A. E.; Gibbard, P. L.; Pettit, M. E. (1999): The sedimentology and palaeoecology of the Westleton Member of the Norwich Crag Formation (Early Pleistocene) at Thorington, Suffolk, England. In: Geological Magazine (136), S. 453–464.";;;;;
Mammuthus meridionalis;Abbeville (Somme River terrace), Pas de Calais;50.003887;1.886111;0.25;0.25;8;K;Late Pleistocene;;;France;;"Haesaerts, P.; Hus, J.; Dupuis, C. (2021): Les nappes alluviales de la Basse Somme revisitées. Revisiting the terrasses of the lower Somme valley. In: L'Anthropologie (125), S. 102899.";;;;;
Mammuthus meridionalis;Blassac-la-Girondie, Auvergne, France;45.166668;3.416667;2.331;2.239;90-86;NA;MNQ19;;;France;;"Paquette, J.-L.; Médard, E.; Poidevin, J.-L.; Barbet, P. (2021): Precise dating of middle to late Villafranchian mammalian paleofaunae from the Upper Allier River valley (French Massif Central) using U-Pb geochronology on volcanic zircons. In: Quaternary Geochronology (65), S. 101198.";;;;;
Mammuthus meridionalis;Chilhac;45.09;3.27;1.69;1.71;60;K;;;\N;France;Elephas maghrebiensis:Elephas moghrebiensis;"Bordes, F.; Thibault, C. (1977): Thoughts on the initial adaptation of Hominids to European glacial climates. In: Quaternary Research (8), S. 115–127.";;;;;
Mammuthus meridionalis;Coupet;45.08;3.33;2.5;1.9;100-72;NA;;;\N;France;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Durfort, Gard;43.933334;3.95;0.8;0.75;19;NA;Middle Pleistocene;;;France;;J.-P. Brugal. 1994. Le bison (Bovidae, Artiodactyla) de Pleistocene moyen ancien de Durfort (Gard, France). Bulletin Musee Nationale de Histoire Naturelle, Paris, 4th Series, Section C 16(2-4):349-381;;;;;
Mammuthus meridionalis;Saint Vallier;45.167;4.817;2.5;2.3;100-94;NA;Middle Villafranchian;;Bresse - Jura;France;Elephas maghrebiensis:Elephas moghrebiensis;"Bordes, F.; Thibault, C. (1977): Thoughts on the initial adaptation of Hominids to European glacial climates. In: Quaternary Research (8), S. 115–127.";;;;;
