SPECIES;NAME;LAT;LONG;MAX_AGE;MIN_AGE;MIS;PERIOD;EARLY_INTERVALL;LATE_INTERVALL;COUNTRY;STATE;REFERENCE;NOTIZ
Mammuthus primigenius;"""Dima"", Kirgilyakh, Yamal Peninsula";62.66666;147.983333;0.057;0.029;3;W;Late Pleistocene;;Russia;;"Lozhkin, A. V.; Anderson, P. M. (2016): About the age and habitat of the Kirgilyakh mammoth (Dima), Western Beringia. In: Quaternary Science Reviews 145, S. 104–116. DOI: 10.1016/j.quascirev.2016.05.028.";
Mammuthus primigenius;"""Forest Bed"" near Cromer";52.930557;1.2975;2.588;0.781;;NA;Early Pleistocene;;UK;England;Newton, Edwin Tulley (1882): The Vertebrata of the Forest Bed Series of Norfolk and Suffolk.: H.M. Stationery Office.;
Mammuthus primigenius;"""Lyuba"", Yamal Peninsula";68.63333;71.66667;0.0424;0.04115;3;W;Late Pleistocene;;Russia;;"van Geel, Bas; Fisher, Daniel C.; Rountrey, Adam N.; van Arkel, Jan; Duivenvoorden, Joost F.; Nieman, Aline M. et al. (2011): Palaeo-environmental and dietary analysis of intestinal contents of a mammoth calf (Yamal Peninsula, northwest Siberia). In: Quaternary Science Reviews 30 (27-28), S. 3935–3946. DOI: 10.1016/j.quascirev.2011.10.009.";
Mammuthus primigenius;"""Yuka"", Dmitrii Laptev Strait";72.625574;142.018262;0.03456;0.03406;3;W;Late Pleistocene;;Russia;Yakutia;"Boeskorov, G. G.; Protopopov, A. V.; Mashchenko, E. N.; Potapova, O. R.; Kuznetsova, T. V.; Plotnikov, V. V. et al. (2013): New findings of unique preserved fossil mammals in the permafrost of Yakutia. In: Doklady biological sciences : proceedings of the Academy of Sciences of the USSR, Biological sciences sections 452, S. 291–295. DOI: 10.1134/S0012496613050116.";
Mammuthus primigenius;"""Zhenya"", Sopochnaya Karga Mammoth";70.897319;82.864685;0.048;0.048;3;W;Late Pleistocene;;Russia;;"Maschenko, Evgeny N.; Potapova, Olga R.; Vershinina, Alisa; Shapiro, Beth; Streletskaya, Irina D.; Vasiliev, Alexander A. et al. (2017): The Zhenya Mammoth (Mammuthus primigenius (Blum.)): Taphonomy, geology, age, morphology and ancient DNA of a 48,000 year old frozen mummy from western Taimyr, Russia. In: Quaternary International 445, S. 104–134. DOI: 10.1016/j.quaint.2017.06.055.";
Mammuthus primigenius;?wilcza;50.071192;21.899595;0.02882;0.0281;2;K;Late Pleistocene;;Poland;;"Nadachowski, Adam; Lipecki, Grzegorz; Wojtal, Piotr; Mi?kina, Barbara (2011): Radiocarbon chronology of woolly mammoth (Mammuthus primigenius) from Poland. In: Quaternary International 245 (2), S. 186–192. DOI: 10.1016/j.quaint.2011.03.011.";
Mammuthus primigenius;?yrardów;52.058371;20.432482;0.0539;0.04783;3;W;Late Pleistocene;;Poland;;"Nadachowski, Adam; Lipecki, Grzegorz; Wojtal, Piotr; Mi?kina, Barbara (2011): Radiocarbon chronology of woolly mammoth (Mammuthus primigenius) from Poland. In: Quaternary International 245 (2), S. 186–192. DOI: 10.1016/j.quaint.2011.03.011.";
Mammuthus primigenius;?ywiec, Koszarawa River;49.678172;19.207205;0.028002;0.027541;2;K;Late Pleistocene;;Poland;;"Nadachowski, Adam; Lipecki, Grzegorz; Baca, Mateusz; ?mihorski, Micha?; Wilczy?ski, Jaros?aw (2018): Impact of climate and humans on the range dynamics of the woolly mammoth (Mammuthus primigenius ) in Europe during MIS 2. In: Quat. res. 90 (3), S. 439–456. DOI: 10.1017/qua.2018.54.";
Mammuthus primigenius;13WD4;42.430155;-95.98326;0.044295;0.044295;3;W;;;;;;
Mammuthus primigenius;Abri Pataud;44.937335;1.012998;0.023;0.016;2;K;Late Pleistocene;;France;;"SOMMER, R. S.; Nadachowski, A. (2006): Glacial refugia of mammals in Europe: evidence from fossil records. In: Mammal Review 36 (4), S. 251–265. DOI: 10.1111/j.1365-2907.2006.00093.x.";
Mammuthus primigenius;Abri Pataud;44.937335;1.012998;0.033;0.032;3;W;Late Pleistocene;;France;;"Drucker, Dorothée G.; Vercoutère, Carole; Chiotti, Laurent; Nespoulet, Roland; Crépin, Laurent; Conard, Nicholas J. et al. (2015): Tracking possible decline of woolly mammoth during the Gravettian in Dordogne (France) and the Ach Valley (Germany) using multi-isotope tracking (13C, 14C, 15N, 34S, 18O). In: Quaternary International 359-360, S. 304–317. DOI: 10.1016/j.quaint.2014.11.028.";
Mammuthus primigenius;Abyi, Yakutia;68.547627;146.361043;0.0305;0.029;3;W;;;Russia;;"G. Boeskorov, Gennady; Mol, Dick (2004): Quaternary Mammal Collections in the Museums of Yakutsk (Eastern Siberia, Yakutia, Russia). In: Cranium 21 (1/2), S. 19–32. Online verfügbar unter https://natuurtijdschriften.nl/pub/523508.";
Mammuthus primigenius;Achchagy-Allaikha River;69;147.3;0.01265;0.01259;1;W;Late Pleistocene;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004.04.002.";
Mammuthus primigenius;Achchagy-Allaikha River;69;147.3;0.0471;0.0451;3;W;Late Pleistocene;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004.04.002.";
Mammuthus primigenius;Achinsk;56.25;90.42;0.02499;0.02431;2;K;Late Pleistocene;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004.04.002.";
Mammuthus primigenius;Adams Mammoth, Lena Delta;72.5;127.5;0.040418;0.040418;3;W;Late Pleistocene;;Russia;;"Chang, Dan; Knapp, Michael; Enk, Jacob; Lippold, Sebastian; Kircher, Martin; Lister, Adrian et al. (2017): The evolutionary and phylogeographic history of woolly mammoths: a comprehensive mitogenomic analysis. In: Scientific reports 7, S. 44585. DOI: 10.1038/srep44585.";calibr. Median
Mammuthus primigenius;Afontova Gora 2;56.1;92.5;0.01326;0.01326;1;W;Late Pleistocene;;Russia;;;
Mammuthus primigenius;Aggitis Cave;41.220554;23.894444;0.115;0.0117;;NA;Würm Glaciation;;Greece;Drama;Koufos, G. D. (1981): A new Late Pleistocene (Würmian) mammal locality from the basin of Drama (Northern Greece). In: Scientific Annals, Faculty of Physics and Mathematics, University Thessaloniki (21), S. 129–148. Online verfügbar unter http://www.rhinoresourcecenter.com/pdf_files/136/1360526168.pdf.;
Mammuthus primigenius;Aghnadarragh;54.599998;-6.233889;0.126;0.0117;;NA;Late Pleistocene;;UK;Northern Ireland;"McCabe, A. Marshall; Coope, G. Russell; Gennard, Dorothy E.; Doughty, Philip (1987): Freshwater organic deposits and stratified sediments between Early and Late Midlandian (Devensian) till sheets, at Aghnadarragh, County Antrim, Northern Ireland. In: J. Quaternary Sci. 2 (1), S. 11–33. DOI: 10.1002/jqs.3390020104.";
Mammuthus primigenius;Aldehuela, Getafe;40.299719;-3.583528;;;;;;;Spain;Madrid;Álvarez-Lao, Diego J. (2014): The Jou Puerta cave (Asturias, NW Spain): A MIS 3 large mammal assemblage with mixture of cold and temperate elements. In: Palaeogeography, Palaeoclimatology, Palaeoecology 393, S. 1–19. DOI: 10.1016/j.palaeo.2013.10.011.;
Mammuthus primigenius;Alei River;52.58;83;0.04922;0.04658;3;W;Late Pleistocene;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004";
Mammuthus primigenius;Algar de Joao Ramos;39.383333;-8.983333;0.018183;0.016382;2;K;Late Pleistocene;;Portugal;Estremadura;"Rodríguez?Almagro, Manuel; Sala, Nohemi; Wi?ing, Christoph; Arriolabengoa, Martin; Etxeberria, Francisco; Rios?Garaizar, Joseba; Gómez?Olivencia, Asier (2021): Ecological conditions during the Middle to Upper Palaeolithic transition (MIS 3) in Iberia: the cold?adapted faunal remains from Mainea, northern Iberian Peninsula. In: Boreas 50 (3), S. 686–708. DOI: 10.1111/bor.12501.       Álvarez-Lao, Diego J. (2014): The Jou Puerta cave (Asturias, NW Spain): A MIS 3 large mammal assemblage with mixture of cold and temperate elements. In: Palaeogeography, Palaeoclimatology, Palaeoecology 393, S. 1–19. DOI: 10.1016/j.palaeo.2013.10.011.";
Mammuthus primigenius;American Aggregates Gravel Pit Site;42.55389;-83.703056;0.126;0.0117;;NA;Late Pleistocene;;US;Michigan;J. A. Holman, D. C. Fisher, and R. O. Kapp. 1986. Recent discoveries of fossil vertebrates in the lower peninsula of Michigan. Michigan Academician 18(3):431-463;
Mammuthus primigenius;Amudai River;73;119;0.0188;0.0186;2;K;Late Pleistocene;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004.04.002.";
Mammuthus primigenius;Amudai River;73;119;0.0436;0.0428;3;W;Late Pleistocene;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004.04.002.";
Mammuthus primigenius;Amudai River;73;119;0.0467;0.0443;3;W;Late Pleistocene;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004.04.002.";
Mammuthus primigenius;Anabar Gulf;73;113.35;0.0406;0.0396;3;W;Late Pleistocene;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004";
Mammuthus primigenius;Anabar River;72.15;113.3;0.0298;0.029;3;W;Late Pleistocene;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004.04.002.";
Mammuthus primigenius;Anabarka River;72.4;106;0.0371;0.0361;3;W;Late Pleistocene;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004.04.002.";
Mammuthus primigenius;Anabarka River;72.4;106;0.0407;0.0399;3;W;Late Pleistocene;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004.04.002.";
