SPECIES;COUNTRY;LAT;LONG;NAME;PERIOD;MIS
Palaeoloxodon antiquus;BE;51.0428;3.9697;Overmere;W;MIS 5e
Palaeoloxodon antiquus;BE;50.98717;4.3908;Zemst A;W;MIS 5e
Palaeoloxodon antiquus;DE;51.272688;11.058987;Bilzingsleben;W;Middle Pleistocene
Palaeoloxodon antiquus;DE;51.072769;10.731208;Burgtonna;W;MIS 5e
Palaeoloxodon antiquus;DE;49.161265;9.185304;Frankenbacher Sande;W;Cromerian Complex
Palaeoloxodon antiquus;DE;51.705387;12.451883;Gröbern;W;MIS 5e
Palaeoloxodon antiquus;DE;50.387153;7.470323;Kärlich-Seeufer;W;Middle Pleistocene
Palaeoloxodon antiquus;DE;52.866667;9.383333;Lehringen;W;MIS 5e
Palaeoloxodon antiquus;DE;49.3333;8.8167;Mauer;W;MIS 13 or 15
Palaeoloxodon antiquus;DE;51.310155;11.877412;Neumark-Nord;W;MIS 5e
Palaeoloxodon antiquus;DE;52.133083;10.998108;Schöningen;W;Middle Pleistocene
Palaeoloxodon antiquus;DE;48.968403;9.275883;Steinheim an der Murr;W;NA
Palaeoloxodon antiquus;DE;48.780585;9.245906;Stuttgart-Untertürkheim;W;MIS 5e
Palaeoloxodon antiquus;DE;50.984632;11.392493;Süßenborn;W;NA
Palaeoloxodon antiquus;DE;50.95;11.38;Taubach;W;MIS 5e
Palaeoloxodon antiquus;DE;50.955731;11.349937;Weimar-Ehringsdorf;W;MIS 7
Palaeoloxodon antiquus;DE;53.596995;13.219903;Woggersin;W;MIS 5e
Palaeoloxodon antiquus;DK;55.503262;9.37793;Ejstrup Station, Kolding;W;MIS 5e
Palaeoloxodon antiquus;DK;54.874357;9.74;Stensigmose Strand, Broagerland;W;MIS 5e
Palaeoloxodon antiquus;ES;41.1667;-2.3;Ambrona;W;MIS 9 or 11
Palaeoloxodon antiquus;ES;40.308827;-3.570839;Arenero de Arriaga;K;MIS 6
Palaeoloxodon antiquus;ES;40.526632;-3.55492;Aridos;W;MIS 9 or 11
Palaeoloxodon antiquus;ES;43.292363;-3.965576;Cueva del Castillo;K;MIS 4-3
Palaeoloxodon antiquus;ES;43.395776;-4.605987;Cueva de la Silluca;W;MIS 5e/c
Palaeoloxodon antiquus;ES;37.438762;-4.199163;El Pirulejo;K;MIS 6
Palaeoloxodon antiquus;FR;50.0039;1.8861;Abbeville;W;MIS 15
Palaeoloxodon antiquus;FR;43.6903879;7.2948233;Grotte du Lazaret;K;MIS 6
Palaeoloxodon antiquus;FR;43.6978008;7.2892475;Terra Amata;W;MIS 11
Palaeoloxodon antiquus;GB;51.503641;0.237782;Aveley;W;MIS 7
Palaeoloxodon antiquus;GB;51.56172;-4.074462;Bacon Hole;W;MIS 5c or e
Palaeoloxodon antiquus;GB;51.479866;-0.316559;Brentford;W;MIS 5e
Palaeoloxodon antiquus;GB;51.491384;-0.304611;Brentford, Great West Road;W;MIS 5e
Palaeoloxodon antiquus;GB;52.657684;-0.249492;Deeping St. James;W;MIS 5e
Palaeoloxodon antiquus;GB;51.628741;-1.222704;Dorchester-on-Thames;W;MIS 5e
Palaeoloxodon antiquus;GB;51.783383;0.974987;East Mersea, Restaurant Site;W;MIS 5e
Palaeoloxodon antiquus;GB;50.349116;-3.987403;Eastern Torrs, Quarry Cave;W;MIS 5e
Palaeoloxodon antiquus;GB;51.437479;0.322168;Ebbsfleet Valley;W;MIS 7
Palaeoloxodon antiquus;GB;53.098972;-1.680359;Hoe Grange Cave;W;MIS 5
Palaeoloxodon antiquus;GB;50.802447;-3.193394;Honiton;W;MIS 5e
Palaeoloxodon antiquus;GB;50.483893;-3.773149;Joint Mitnor Cave;W;MIS 5e
Palaeoloxodon antiquus;GB;54.261583;-0.960645;Kirkdale Cave;W;MIS 5e
Palaeoloxodon antiquus;GB;51.891145;0.873088;Lexden;W;MIS 7
Palaeoloxodon antiquus;GB;53.073927;-0.664058;Little Syke;W;MIS 5e
Palaeoloxodon antiquus;GB;51.481085;0.299898;Lion Pit, West Thurrock;W;MIS 7
Palaeoloxodon antiquus;GB;51.821362;-0.64919;Marsworth;W;MIS 7, MIS 5e
