SPECIES;NAME;LAT;LONG;MAX_AGE;MIN_AGE;MIS;PERIOD;EARLY_INTERVALL;LATE_INTERVALL;COUNTRY;STATE;REFERENCE;
Palaeoloxodon namadicus;Nandur Madhmeshwar, Godavari Valley;20.001884;74.141384;0.02783;0.023;2;K;;;India;;"Turvey, Samuel T.; Sathe, Vijay; Crees, Jennifer J.; Jukar, Advait M.; Chakraborty, Prateek; Lister, Adrian M. (2021): Late Quaternary megafaunal extinctions in India: How much do we know? In: Quaternary Science Reviews 252, S. 106740. DOI: 10.1016/j.quascirev.2020.106740.    Rajagopalan, G.; Vishnu-Mittre, B. Sekar; Mandal, T. K. (1982): Birbal Sahni Institute Radiocarbon Measurements III. In: Radiocarbon 24 (1), S. 45–53. DOI: 10.1017/s0033822200004896.";
Palaeoloxodon namadicus;Wangdari, Manjra Valley;18.55;76.40722;0.02757;0.02609;2;K;;;India;;"Turvey, Samuel T.; Sathe, Vijay; Crees, Jennifer J.; Jukar, Advait M.; Chakraborty, Prateek; Lister, Adrian M. (2021): Late Quaternary megafaunal extinctions in India: How much do we know? In: Quaternary Science Reviews 252, S. 106740. DOI: 10.1016/j.quascirev.2020.106740.    Sathe, Vijay Gajanan (1989): Quaternary palaeontology and prehistoric archaeology of the Manjra valley Maharashtra. Unter Mitarbeit von G. L. Badam: Pune; Savitribai Phule Pune University; Deccan College Post Graduate and Research Institute Pune. Online verfügbar unter https://shodhganga.inflibnet.ac.in/handle/10603/168671.";
Palaeoloxodon namadicus;Shizishan Cave, Maba;24.875175;114.36387;0.135;0.13;6;K;;;China;;"Zeitoun, Valery; Chinnawut, Winayalai; Debruyne, Régis; Frère, Stéphane; Auetrakulvit, Prasit (2016): A sustainable review of the Middle Pleistocene benchmark sites including the Ailuropoda–Stegodon faunal complex: The Proboscidean point of view. In: Quaternary International 416, S. 12–26. DOI: 10.1016/j.quaint.2015.09.045.";
Palaeoloxodon namadicus;Ngandong, Java;-7.026959;112.005735;0.135;0.135;6;K;Late Pleistocene;;Indonesia;;"van den Bergh, Gert D.; Vos, John de; Sondaar, Paul Y. (2001): The Late Quaternary palaeogeography of mammal evolution in the Indonesian Archipelago. In: Palaeogeography, Palaeoclimatology, Palaeoecology 171 (3-4), S. 385–408. DOI: 10.1016/S0031-0182(01)00255-3.";
Palaeoloxodon namadicus;Tham Khuyen;21.95;106.5;0.3;0.2;9-8;K;;;Vietnam;Lang Son Province;"Olsen, John W.; Ciochon, Russell L. (1990): A review of evidence for postulated Middle Pleistocene occupations in Viet Nam. In: Journal of Human Evolution 19 (8), S. 761–788. DOI: 10.1016/0047-2484(90)90020-C.";
Palaeoloxodon namadicus;Baneta Formation, Narmada Valley;22.84279;77.887298;0.0371;0.0082;3-1;NA;;;India;;"Turvey, Samuel T.; Sathe, Vijay; Crees, Jennifer J.; Jukar, Advait M.; Chakraborty, Prateek; Lister, Adrian M. (2021): Late Quaternary megafaunal extinctions in India: How much do we know? In: Quaternary Science Reviews 252, S. 106740. DOI: 10.1016/j.quascirev.2020.106740.   Patnaik, Rajeev; Chauhan, Parth R.; Rao, M. R.; Blackwell, B. A. B.; Skinner, A. R.; Sahni, Ashok et al. (2009): New geochronological, paleoclimatological, and archaeological data from the Narmada Valley hominin locality, central India. In: Journal of Human Evolution 56 (2), S. 114–133. DOI: 10.1016/j.jhevol.2008.08.023.";
Palaeoloxodon namadicus;Nihewan, Hutouliang;40.166667;114.5;0.14;0.01;6-1;NA;;;China;Hebei;"Deng, Chenglong; Zhu, Rixiang; Zhang, Rui; Ao, Hong; Pan, Yongxin (2008): Timing of the Nihewan formation and faunas. In: Quat. res. 69 (1), S. 77–90. DOI: 10.1016/j.yqres.2007.10.006.";
Palaeoloxodon namadicus;Dhanegaon, Manjra Valley;18.575;76.15889;0.039;0.011;3-1;NA;;;India;;"Sathe, Vijay Gajanan (1989): Quaternary palaeontology and prehistoric archaeology of the Manjra valley Maharashtra. Unter Mitarbeit von G. L. Badam: Pune; Savitribai Phule Pune University; Deccan College Post Graduate and Research Institute Pune. Online verfügbar unter https://shodhganga.inflibnet.ac.in/handle/10603/168671.";
Palaeoloxodon namadicus;Ganjur, Manjra Valley;18.543611;76.41111;0.039;0.011;3-1;NA;;;India;;"Sathe, Vijay Gajanan (1989): Quaternary palaeontology and prehistoric archaeology of the Manjra valley Maharashtra. Unter Mitarbeit von G. L. Badam: Pune; Savitribai Phule Pune University; Deccan College Post Graduate and Research Institute Pune. Online verfügbar unter https://shodhganga.inflibnet.ac.in/handle/10603/168671.";
Palaeoloxodon namadicus;Brunei 1;4.544166667;114.7525;1.9;0.0117;103-1;NA;;;Indonesia;\N;;
