SPECIES;NAME;LAT;LONG;MAX_AGE;MIN_AGE;MIS;PERIOD;COUNTRY;SP_SYNONYM;SP_SYNONYM_COMMENT;EARLY_INTERVALL;LATE_INTERVALL;REFERENCE
Palaeoloxodon recki;Konso - Interval 1;5.25;37.5;1.93;1.86;73-70;NA;Ethiopia;;;Gelasian;Calabrian;G. Suwa, H. Nakaya, and B. Asfaw, H. Saegusa, A. Amzaye, R. T. Kono, Y. Beyene, S. Katoh. 2003. Plio-Pleistocene terrestrial mammal assemblage from Konso, Southern Ethiopia. Journal of Vertebrate Paleontology 23(4):901-916
Palaeoloxodon recki;Namib 4;-23.5833;15.4167;0.35;0.35;10;K;;;;Calabrian;;"Shackley, M. (1980): An Acheulean industry with Elephas recki fauna from Namiv IV, South West Africa (Namibia). In: Nature (284), S. 340–341.   Shackley, M.; Komura, K.; Hayashi, T.; Ikeya, M.; Matsuura, M.; Ueta, N. (1985): Chronometric dating of bone from Namib IV Acheulean site, South West Africa/Namibia. In: Bulletin of the National Science Museum Toyo (11), S. 7–12."
Palaeoloxodon recki;AssalW;11.6009;42.370602;0.8;0.5;20-13;K?;;;;Middle Pleistocene;;D. Geraads and L. de Bonis. 2020. First record of Theropithecus (Cercopithecidae) from the Republic of Djibouti. Journal of Human Evolution 138(102686)
Palaeoloxodon recki;Danakil - general;14.0833;39.849998;1.03;0.99;29-28;NA;;;;Jaramillo around 1mya;;E. Abbate, A. Albianelli A. Azzaroli, M. Benvenuti, B. Tesfamariam, P. Bruni, N. Cipriani, et al. 1998. A one-million-year-old Homo cranium from the Danakil (Afar) Depression of Eritrea. Nature 393:458-460
Palaeoloxodon recki;Ahl al Ouglam;33.67745;-7.50463;2.5;2.5;100-102;K?;Marocco;;;;;"Geraards, D.; Raynal, J-P; Sbihi-Alaoui, F.-Z. (2010): Mammalian faunas from the Pliocene and Pleistocene of Casablanca (Morocco). In: Historical Biology (22), S. 275–285."
Palaeoloxodon recki;Olorgesailie Member I, Site 15;-1.5706;36.4375;0.992;0.974;28-27;K;;;;Pleistocene;;"Isaac, G. L. (1977): Olorgesailie: Archeological Studies of a Middle Pleistocene Lake Basin in Kenya. Chicago, IL, USA: Chicago Press.     Potts, R. (1989): Olorgesailie: New excavations and findings in Early and Middle Pleistocene contexts, southern Kenya Rift valley. In: Jounal of Human Evolution (18), S. 477–484.    Potts, R.; Behrensmeyer, A. K.; Ditchfield, P. (2006): Paleolandscape variation and Early Pleistocene hominid activities: Members 1 and 7, Olorgesailie Formation, Kenya. In: Jounal of Human Evolution (25), S. 448–465. "
Palaeoloxodon recki;Lainyamok;-1.80588;36.211829;0.7;0.6;17;W;;;;;;"Potts, R.; Shipman, P.; Ingall, E. (1988): Taphonomy, paleoecology, and hominids of Lainyamok, Kenya. In: Journal of Human Evolution (17), S. 597–614."
Palaeoloxodon recki;Chemeron fm.;0.6667;35.833302;5.333;2.588;TG6-103;NA;;;;Zanclean;Pliocene;A. J. Winkler. 1988. The Neogene rodent succession of the Baringo Basin, Kenya. Journal of Vertebrate Paleontology 8(3,Suppl.):29A.
Palaeoloxodon recki;Katanda 2 - Semliki Beds;0.1;29.5833;5.333;0.781;TG6-19;NA;;;;Pliocene;Pleistocene;A. S. Brooks, D. Helgren, and J. Cramer, A. Franklin, W. Hornyak, J. Keating, , R. G. Klein, W. J. Rink, H. Schwarcz, J. N. Smith. 1995. Dating and context of three Middle Stone Age sites with bone points in the Upper Semliki Valley, Zaire. Science 268(5210):548-553
Palaeoloxodon recki;SHKII-Mddle BdII;-2.9916;35.327801;1.806;0.781;65-19;NA;;;;Calabrian;;A. W. Gentry. 1978. Bovidae.  In V. J. Maglio and H. B. S. Cooke (eds.), Evolution of African Mammals. Harvard University Press, Cambridge, Massachusetts
